SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC1=CCC1N,93.129,1,1,0,1,1,26.02,0.277,1
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
N#CC1CC1C=O,95.10099999999998,2,0,1,1,2,40.86,0.34497999999999995,2
CC1=NCCC1,83.134,1,0,0,1,1,12.36,1.2411,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CC=C2CC12,94.113,1,0,0,2,1,17.07,0.9055,1
O=C1CC(=O)C1,84.074,2,0,0,1,2,34.14,-0.0816,0
O=C1C=CC1O,84.074,2,1,0,1,2,37.3,-0.5138,1
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CC=CC1,82.102,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1CC(=O)C1,84.118,1,0,0,1,1,17.07,0.9854,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=NCC1,69.107,1,0,0,1,1,12.36,0.851,0
O=C1C=CC1,68.07500000000002,1,0,0,1,1,17.07,0.5154,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1CNC1,71.123,1,1,0,1,1,12.03,0.22569999999999996,0
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=C1CC=NC1,83.09,2,0,0,1,2,29.43,0.030000000000000027,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=CC1CC1,70.09100000000001,1,0,1,1,1,17.07,0.5952999999999999,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1COC1,72.063,2,0,0,1,2,26.3,-0.4143,0
CC1=CN=C1C,81.118,1,0,0,1,1,12.36,1.3647,0
CCC1=CC1O,84.11799999999998,1,1,1,1,1,20.23,0.6973,1
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1CCC1=O,84.118,1,0,0,1,1,17.07,0.9854,1
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
C#CC1=CC=N1,77.086,1,0,0,1,1,12.36,0.5879,0
OC1CC1,58.07999999999999,1,1,0,1,1,20.23,0.1411,0
N=C1C=C(C=O)C1,95.10099999999998,2,1,1,1,2,40.92,0.5351699999999999,0
CC1=CC(=O)NC1,97.117,1,1,0,1,2,29.1,0.06250000000000006,0
O=C1C=C=CC1,80.086,1,0,0,1,1,17.07,0.6704999999999999,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=NCCC1,83.134,1,0,0,1,1,12.36,1.2411,0
CNC1(C)CC1=O,99.133,2,1,1,1,2,29.1,-0.0627000000000002,1
O=C1C=C=CCN1,95.101,1,1,0,1,2,29.1,-0.17250000000000004,0
CC1CN1,57.096,1,1,0,1,1,21.94,-0.021899999999999975,1
CC1=CC(=O)N1,83.09,1,1,0,1,2,29.1,0.020000000000000073,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
C#CC1CO1,68.075,1,0,0,1,1,12.53,0.018399999999999972,1
CC1(C)CN1,71.12299999999999,1,1,0,1,1,21.94,0.3682,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1CC(=N)N1,84.122,1,2,0,1,2,35.88,0.34547000000000005,1
NC1CC=CC1=O,97.11699999999999,2,1,0,1,2,43.09,-0.15730000000000022,1
O=C1C=CCC1=O,96.08500000000001,2,0,0,1,2,34.14,0.08449999999999996,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=NN1,56.068,2,1,0,1,2,34.3,-0.07700000000000001,0
C#CC1CO1,68.075,1,0,0,1,1,12.53,0.018399999999999972,1
O=C1C=CCCC1,96.12900000000002,1,0,0,1,1,17.07,1.2955999999999999,0
O=C1C=CC2CC12,94.113,1,0,0,2,1,17.07,0.7614,2
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CC1,68.07500000000002,1,0,0,1,1,17.07,0.5154,0
O=C1CC=CNC1,97.117,2,1,0,1,2,29.1,0.062499999999999944,0
O=C1C=NC=CC1,95.10099999999998,2,0,0,1,2,29.43,0.5437,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=CC1=CCC1,82.102,1,0,1,1,1,17.07,0.9055,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
CC1(C=O)CC1,84.11800000000001,1,0,1,1,1,17.07,0.9854,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1CC(=O)C1,84.118,1,0,0,1,1,17.07,0.9854,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1C=CCC1O,98.101,2,1,0,1,2,37.3,-0.12370000000000009,1
O=C1C=C=CC1O,96.08499999999998,2,1,0,1,2,37.3,-0.3587000000000001,1
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC12CC2,96.129,1,0,0,2,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=CCCN1,83.13400000000001,1,1,0,1,1,12.03,0.8835,0
CC1CCO1,72.107,1,0,0,1,1,9.23,0.7952,1
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
Cn1cccn1,82.10600000000001,2,0,0,1,2,17.82,0.4200999999999999,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CC1,56.064,1,0,0,1,1,17.07,0.3493,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1C=CNC1,83.09,2,1,0,1,2,29.1,-0.3276000000000001,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CC=CC1,82.102,1,0,0,1,1,17.07,0.9055,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1=O,84.074,2,0,0,1,2,34.14,-0.0816,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1CO1,58.08,1,0,0,1,1,12.53,0.4051,1
O=C1C=CC1,68.07500000000002,1,0,0,1,1,17.07,0.5154,0
O=C1CCC1=O,84.074,2,0,0,1,2,34.14,-0.0816,0
O=C1CC=CC1,82.102,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
N#CC1CC1,67.09100000000001,1,0,0,1,1,23.79,0.91998,0
O=C1C=C2CCC2O1,110.112,2,0,0,2,2,26.3,0.6319999999999999,1
CC1=CC1CO,84.11800000000001,1,1,1,1,1,20.23,0.5548,1
O=C1CC2CC12,82.102,1,0,0,2,1,17.07,0.5952999999999999,2
CC1CNC1,71.123,1,1,0,1,1,12.03,0.22569999999999996,0
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=C1CCNC1,85.106,2,1,0,1,2,29.1,-0.45120000000000005,0
CC1CC1=O,70.091,1,0,0,1,1,17.07,0.5952999999999999,1
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=CC1CCC1,84.11800000000001,1,0,1,1,1,17.07,0.9854,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CC=CC1,82.102,1,0,0,1,1,17.07,0.9055,0
CC1CN1,57.096,1,1,0,1,1,21.94,-0.021899999999999975,1
O=CC1CNC1,85.106,2,1,1,1,2,29.1,-0.5952999999999999,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=COC1,70.09100000000001,1,0,0,1,1,9.23,0.9204,0
O=CC1C=CC1,82.102,1,0,1,1,1,17.07,0.7614,1
O=C1CCC1=O,84.074,2,0,0,1,2,34.14,-0.0816,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1(C=O)CC1,84.11800000000001,1,0,1,1,1,17.07,0.9854,0
O=CC1(O)CC1,86.09,2,1,1,1,2,37.3,-0.28980000000000006,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1CCO1,72.107,1,0,0,1,1,9.23,0.7952,1
CC1CCN1,71.12299999999999,1,1,0,1,1,12.03,0.3682,1
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1C=CCC1=O,96.08500000000001,2,0,0,1,2,34.14,0.08449999999999996,0
CC1CNC1,71.123,1,1,0,1,1,12.03,0.22569999999999996,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1=CC1N,69.10700000000001,1,1,0,1,1,26.02,0.2736000000000002,1
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1(C)CC1=O,84.118,1,0,0,1,1,17.07,0.9854,0
N#CC1CC1,67.09100000000001,1,0,0,1,1,23.79,0.91998,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=CC1CC1,70.09100000000001,1,0,1,1,1,17.07,0.5952999999999999,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=CC1C=CCC1,96.129,1,0,1,1,1,17.07,1.1515,1
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
CC1(C#N)CC1,81.11800000000001,1,0,0,1,1,23.79,1.3100800000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1CCCO1,86.134,1,0,0,1,1,9.23,1.1853,1
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CC1CO,98.101,2,1,1,1,2,37.3,-0.26620000000000005,1
CC1=NCCC1,83.134,1,0,0,1,1,12.36,1.2411,0
N=C1C=CCC1,81.11800000000001,1,1,0,1,1,23.85,1.35617,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CC1=CC(=O)N1,83.09,1,1,0,1,2,29.1,0.020000000000000073,0
C#CC1CO1,68.075,1,0,0,1,1,12.53,0.018399999999999972,1
CC1=C(C=O)C1,82.102,1,0,1,1,1,17.07,0.9055,0
O=C1C=C=CC1,80.086,1,0,0,1,1,17.07,0.6704999999999999,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCCC1,84.11800000000001,1,0,0,1,1,17.07,1.1295,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
CN1CCC1=O,85.106,1,0,0,1,2,20.310000000000002,-0.15149999999999997,0
CC1=CNC1,69.10700000000001,1,1,0,1,1,12.03,0.4934,0
O=C1C=CCNC1,97.11700000000002,2,1,0,1,2,29.1,-0.28510000000000013,0
CC1=CC(=O)NC1,97.117,1,1,0,1,2,29.1,0.06250000000000006,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CCC1,82.10200000000002,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CC=CC1,82.102,1,0,0,1,1,17.07,0.9055,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1CCC1,70.09100000000001,1,0,0,1,1,17.07,0.7394000000000001,0
O=C1C=CC1,68.07500000000002,1,0,0,1,1,17.07,0.5154,0
